filename,original score,file length,pad length,loss,predict score
adamuninstall.exe,0.5159791,121274,0,,
AddInProcess.exe,0.25814855,42080,4208,0.2581484913825989,0.25814855098724365
AddInProcess32.exe,0.98788273,42080,4208,,
AddInUtil.exe,0.99946874,42600,4260,,
AddSuggestedFoldersToLibraryDialog.exe,8.399191e-08,791456,0,,
ADSchemaAnalyzer.exe,0.9809284,69056,6905,,
AgentService.exe,3.1668387e-05,1189376,0,,
aitstatic.exe,0.00038403863,2868536,0,,
alg.exe,0.00012391632,91136,0,,
appcmd.exe,0.6496626,40714,4071,,
AppHostRegistrationVerifier.exe,0.25404948,111616,0,,
appidcertstorecheck.exe,0.7242328,19456,1945,,
appidpolicyconverter.exe,0.0007516236,160256,0,,
appidtel.exe,0.99962956,20992,2099,,
AppInstaller.exe,1.6738208e-05,2165760,0,,
AppLaunch.exe,0.97759295,98912,0,,
ApplicationFrameHost.exe,0.00092770223,69800,6980,0.0009276996133849025,0.0009277022327296436
ApplySettingsTemplateCatalog.exe,2.2917072e-07,1127936,0,,
ApplyTrustOffline.exe,0.36210737,1035256,0,,
AppResolverUX.exe,1.3264984e-06,628120,0,,
ApproveChildRequest.exe,0.004902962,231424,0,,
AppVClient.exe,9.129978e-06,826776,0,,
AppVDllSurrogate.exe,0.027072245,180736,0,,
AppVNice.exe,0.21553935,173056,0,,
AppVShNotify.exe,0.04283794,231424,0,,
AppVStreamingUX.exe,0.83872736,294296,0,,
ARP.EXE,0.61247826,22528,2252,,
aspnetca.exe,0.6400969,40158,4015,,
aspnet_compiler.exe,0.90668005,55400,5540,,
aspnet_regbrowsers.exe,0.9997553,45160,4516,,
aspnet_regiis.exe,0.9985322,41064,4106,,
aspnet_regsql.exe,0.9996988,127080,0,,
aspnet_state.exe,0.96103907,47208,4720,,
aspnet_wp.exe,0.8173291,46184,4618,,
AssignedAccessLockApp.exe,9.95357e-08,537496,0,,
at.exe,0.90554315,25088,2508,,
AtBroker.exe,0.039518658,49152,4915,0.039518389850854874,0.03951865807175636
attrib.exe,0.37031797,19456,1945,0.9521657824516296,0.9986299872398376
audiodg.exe,1.0942379e-05,594128,0,,
audit.exe,0.0026223697,79872,128,0.0026223615277558565,0.0026223696768283844
auditpol.exe,0.048289217,29184,2918,0.04828925058245659,0.0482892170548439
AuditShD.exe,0.6892169,30720,3072,,
AuthHost.exe,6.7479355e-06,139016,0,,
autochk.exe,0.14949119,871424,0,,
autoconv.exe,0.013107132,851968,0,,
autofmt.exe,8.662026e-06,831488,0,,
AxInstUI.exe,0.99999106,60416,6041,,
baaupdate.exe,0.0012731561,112640,0,,
backgroundTaskHost.exe,0.687904,17824,1782,,
BackgroundTransferHost.exe,0.99463826,34816,3481,,
bash.exe,0.6238154,49912,4991,,
bcdboot.exe,0.0024189488,213504,0,,
bcdedit.exe,0.003895004,461824,0,,
bdechangepin.exe,1.9570833e-05,369664,0,,
BdeHdCfg.exe,0.9218306,132608,0,,
BdeUISrv.exe,0.0017379986,52736,5273,0.001738002640195191,0.001737998565658927
bdeunlock.exe,0.0010732051,286232,0,,
bfsvc.exe,0.0636712,67072,6707,0.06367114186286926,0.06367120146751404
BioEnrollmentHost.exe,7.9064495e-07,733592,0,,
BioIso.exe,0.001536389,619376,0,,
BitLockerDeviceEncryption.exe,0.00086467207,138240,0,,
BitLockerToGo.exe,0.04146649,233368,0,,
BitLockerWizard.exe,0.019877443,101888,0,,
BitLockerWizardElev.exe,0.98284715,101888,0,,
bitsadmin.exe,0.9638651,178688,0,,
bootcfg.exe,0.9965808,82944,0,,
BootExpCfg.exe,0.75406075,35970,3597,,
bootim.exe,0.72476137,25088,2508,,
