Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
19.68,6,63.95,11558.058915924936,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0,0,98,98,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.98,0.01,0.0,0.01,0.0,0.0,0.99,0.99,6113,60,173,61.13,11.300000000000027,61.13,9.092092514038086E-5,100,127.69000000000064,DDOS-RSTFINFLOOD
0.0,1,64.0,43307.21734641198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.310037612915039E-5,100,0.0,DDOS-ICMP_FLOOD
0.0,47,64.0,8441.621382280722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200,592,592,592.0,0.0,592.0,1.193308830261E-4,100,0.0,MIRAI-GREETH_FLOOD
0.0,1,64.0,33705.43233686918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.96783447265625E-5,100,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,50351.7887154862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.986026763916016E-5,100,0.0,DDOS-TCP_FLOOD
20.0,6,64.0,41441.59668016995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.462863922119141E-5,100,0.0,DDOS-SYNONYMOUSIP_FLOOD
20.0,6,65.91,12470.428732829874,0.0,0.98,0.02,0.0,0.01,0.0,0.0,1,98,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,8.501052856445313E-5,100,0.0,DOS-SYN_FLOOD
0.0,1,64.0,12140.160351963876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,8.238077163696288E-5,100,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,23163.99182636549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.317045211791992E-5,100,0.0,DDOS-TCP_FLOOD
20.0,6,64.0,61203.910696045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.694917678833008E-5,100,0.0,DDOS-TCP_FLOOD
0.0,1,64.0,54464.40721984158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.837015151977539E-5,100,0.0,DDOS-ICMP_FLOOD
11.48,6,64.0,2909.5187225127984,0.0,0.04,0.01,0.0,0.51,0.0,0.0,51,4,0,1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.53,0.01,0.0,0.0,0.0,0.0,1.0,1.0,90306,60,1514,903.06,594.0695776003873,903.06,3.459405899047E-4,100,352918.6630303027,DDOS-ACK_FRAGMENTATION
8.0,17,64.0,5131.5886707041045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,1.948904991149E-4,100,0.0,MIRAI-UDPPLAIN
20.0,6,64.0,32020.0320635163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.1230449676513674E-5,100,0.0,DOS-TCP_FLOOD
